postcode_id,postcode
1,10200
2,10300
3,10530
4,10500
5,10220
6,10240
7,10330
8,10100
9,10260
10,10510
11,10520
12,10120
13,10400
14,10600
15,10310
16,10170
17,10700
18,10150
19,10160
20,10140
21,10230
22,10800
23,10900
24,10250
25,10110
26,10210
27,10270
28,10280
29,10560
30,10550
31,10540
32,10130
33,10290
34,10570
35,11000
36,11130
37,11140
38,11110
39,11150
40,11120
41,12000
42,12120
43,12130
44,12110
45,12170
46,12140
47,12150
48,12160
49,13000
50,13130
51,18270
52,13260
53,13190
54,13290
55,13250
56,13160
57,13180
58,13170
59,13220
60,13120
61,13280
62,13140
63,13230
64,13110
65,13270
66,13210
67,13150
68,13240
69,14000
70,14140
71,14130
72,14120
73,14150
74,14110
75,14160
76,15000
77,15160
78,15210
79,15140
80,15220
81,18220
82,15120
83,15130
84,15230
85,15190
86,15150
87,15180
88,15110
89,15240
90,15250
91,15170
92,16000
93,16130
94,16150
95,16120
96,16160
97,16140
98,16110
99,17000
100,17110
101,17170
102,17120
103,17150
104,17140
105,17130
106,17160
107,18000
108,18110
109,18260
110,18140
111,18250
112,18230
113,18150
114,18170
115,18130
116,18210
117,18190
118,18120
119,18160
120,18180
121,30130
122,18240
123,20000
124,20130
125,20170
126,20220
127,20190
128,20150
129,20160
130,20140
131,20110
132,20230
133,20120
134,20180
135,20250
136,20270
137,20240
138,21000
139,21160
140,21100
141,21150
142,21130
143,21110
144,21190
145,22160
146,21170
147,21210
148,21120
149,21140
150,21180
151,22000
152,22110
153,22150
154,22120
155,22170
156,22140
157,22130
158,22190
159,22180
160,22210
161,23000
162,23110
163,23130
164,23150
165,23140
166,23120
167,23170
168,24000
169,24110
170,24150
171,24170
172,24130
173,24180
174,24140
175,24120
176,24160
177,24190
178,25000
179,25230
180,25110
181,25240
182,25220
183,25150
184,25130
185,25140
186,25190
187,26000
188,26130
189,26110
190,26120
191,27000
192,27260
193,27180
194,27210
195,27160
196,27120
197,27250
198,30000
199,30310
200,30280
201,30250
202,30330
203,30260
204,30350
205,30230
206,30190
207,30210
208,36220
209,30220
210,30160
211,30420
212,30290
213,30120
214,30180
215,30150
216,30110
217,30240
218,30270
219,30170
220,30380
221,30140
222,30340
223,30320
224,30410
225,30440
226,30360
227,30370
228,30430
229,31000
230,31190
231,31160
232,31110
233,31210
234,31170
235,31140
236,31180
237,31120
238,31130
239,31150
240,31220
241,31230
242,31240
243,31250
244,31260
245,32000
246,32190
247,32120
248,32180
249,32140
250,32210
251,32130
252,32160
253,32110
254,32150
255,32220
256,32170
257,32230
